"name","selected","shared name"
"GLUCARGALACTSUPER-PWY","false","GLUCARGALACTSUPER-PWY"
"PWY-7383","false","PWY-7383"
"Right_Parietal_High_Gamma","false","Right_Parietal_High_Gamma"
"fa_12:0","false","fa_12:0"
"sm_36:3;o2","false","sm_36:3;o2"
"pe_36:3","false","pe_36:3"
"Bifidobacterium_kashiwanohense","false","Bifidobacterium_kashiwanohense"
"Frontal_Gyrus_(mid)_Left_Temporal_Gyrus_(mid)_left","false","Frontal_Gyrus_(mid)_Left_Temporal_Gyrus_(mid)_left"
"tg_48:0","false","tg_48:0"
"Bifidobacterium_longum","false","Bifidobacterium_longum"
"tg_53:2","false","tg_53:2"
"EA_PRS","false","EA_PRS"
"Frontal_Central_High_Gamma","false","Frontal_Central_High_Gamma"
"All_Chans_Low_Alpha","false","All_Chans_Low_Alpha"
"ce_18:1","false","ce_18:1"
"Almeria","false","Almeria"
"Left_Parietal_High_Gamma","false","Left_Parietal_High_Gamma"
"PWY-5497","false","PWY-5497"
"PWY-5265","false","PWY-5265"
"PWY-5972","false","PWY-5972"
"PWY-6590","false","PWY-6590"
"PWY-7328","false","PWY-7328"
"tg_53:1","false","tg_53:1"
"PWY-7221","false","PWY-7221"
"tg_36:1","false","tg_36:1"
"PWY-5690","false","PWY-5690"
"pi_34:2","false","pi_34:2"
"fa_19:0","false","fa_19:0"
"fahfa_28:3;o","false","fahfa_28:3;o"
"pc_39:0","false","pc_39:0"
"Weight","false","Weight"
"tg_58:10","false","tg_58:10"
"PWY0-1277","false","PWY0-1277"
"tg_51:4","false","tg_51:4"
"tg_40:3","false","tg_40:3"
"tg_50:7","false","tg_50:7"
"fa_16:1;o2","false","fa_16:1;o2"
"TCA-GLYOX-BYPASS","false","TCA-GLYOX-BYPASS"
"pc_o-38:5","false","pc_o-38:5"
"tg_52:3","false","tg_52:3"
"pc_36:5","false","pc_36:5"
"pc_o-38:8","false","pc_o-38:8"
"pc_o-37:10","false","pc_o-37:10"
"NAGLIPASYN-PWY","false","NAGLIPASYN-PWY"
"tg_54:5;o","false","tg_54:5;o"
"MUAC","false","MUAC"
"ECASYN-PWY","false","ECASYN-PWY"
"PWY-6071","false","PWY-6071"
"PWY-841","false","PWY-841"
"SER-GLYSYN-PWY","false","SER-GLYSYN-PWY"
"pc_36:2","false","pc_36:2"
"ps_38:4","false","ps_38:4"
"tg_62:13","false","tg_62:13"
"ARG+POLYAMINE-SYN","false","ARG+POLYAMINE-SYN"
"Mothers_occupation","false","Mothers_occupation"
"st_29:1;o","false","st_29:1;o"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","false","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY"
"Frontal_Low_Gamma","false","Frontal_Low_Gamma"
"sm_34:1;o2","false","sm_34:1;o2"
"HSERMETANA-PWY","false","HSERMETANA-PWY"
"sm_39:1;o2","false","sm_39:1;o2"
"PWY-6609","false","PWY-6609"
"ANAEROFRUCAT-PWY","false","ANAEROFRUCAT-PWY"
"PWY-8187","false","PWY-8187"
"PWY-6920","false","PWY-6920"
"Agent_used_before_eating","false","Agent_used_before_eating"
"Frequency_of_nail_cutting_of_mother","false","Frequency_of_nail_cutting_of_mother"
"tg_46:0","false","tg_46:0"
"pc_o-38:6","false","pc_o-38:6"
"HISDEG-PWY","false","HISDEG-PWY"
"pi_36:3","false","pi_36:3"
"tg_45:2","false","tg_45:2"
"PWY-6803","false","PWY-6803"
"Open_drain_beside_house","false","Open_drain_beside_house"
"TCA","false","TCA"
"isoleucine","false","isoleucine"
"pc_39:6","false","pc_39:6"
"Language","false","Language"
"Left_Lat_Frontal_Low_Alpha","false","Left_Lat_Frontal_Low_Alpha"
"GLUCOSE1PMETAB-PWY","false","GLUCOSE1PMETAB-PWY"
"tg_54:7","false","tg_54:7"
"st_29:1;o;s","false","st_29:1;o;s"
"Method_used_after_defecating","false","Method_used_after_defecating"
"tg_60:4","false","tg_60:4"
"tg_60:13","false","tg_60:13"
"Flavonifractor_plautii","false","Flavonifractor_plautii"
"tg_54:6","false","tg_54:6"
"Left_Lat_Frontal_Low_Gamma","false","Left_Lat_Frontal_Low_Gamma"
"PWY-7228","false","PWY-7228"
"PYRIDOXSYN-PWY","false","PYRIDOXSYN-PWY"
"lysine","false","lysine"
"PWY-5897","false","PWY-5897"
"Occipital_High_Alpha","false","Occipital_High_Alpha"
"fa_22:5","false","fa_22:5"
"PWY-7198","false","PWY-7198"
"tg_52:6","false","tg_52:6"
"PWY-6270","false","PWY-6270"
"Right_Parietal_Beta","false","Right_Parietal_Beta"
"PWY-5723","false","PWY-5723"
"PWY0-845","false","PWY0-845"
"Right_Temporal_Low_Gamma","false","Right_Temporal_Low_Gamma"
"P221-PWY","false","P221-PWY"
"sm_38:4;o2","false","sm_38:4;o2"
"cer_43:1;o2","false","cer_43:1;o2"
"tg_44:2","false","tg_44:2"
"pi_38:6","false","pi_38:6"
"fa_17:1","false","fa_17:1"
"Cot_or_bed","false","Cot_or_bed"
"GLYCOLYSIS-E-D","false","GLYCOLYSIS-E-D"
"PWY0-41","false","PWY0-41"
"dg_32:0","false","dg_32:0"
"pc_o-37:8","false","pc_o-37:8"
"fa_22:4","false","fa_22:4"
"Right_Parietal_Low_Alpha","false","Right_Parietal_Low_Alpha"
"Bicycle","false","Bicycle"
"tg_52:7","false","tg_52:7"
"Principal_type_of_toilet_facility_used_by_household_members","false","Principal_type_of_toilet_facility_used_by_household_members"
"THISYNARA-PWY","false","THISYNARA-PWY"
"P441-PWY","false","P441-PWY"
"Monthly_total_expenditure","false","Monthly_total_expenditure"
"SULFATE-CYS-PWY","false","SULFATE-CYS-PWY"
"Bacteroides_fragilis","false","Bacteroides_fragilis"
"ce_20:3","false","ce_20:3"
"DARABCATK12-PWY","false","DARABCATK12-PWY"
"Agent_used_before_cleaning_childs_dishes","false","Agent_used_before_cleaning_childs_dishes"
"PWY-5656","false","PWY-5656"
"tg_58:4","false","tg_58:4"
"tg_56:8","false","tg_56:8"
"Bifidobacterium_breve","false","Bifidobacterium_breve"
"GLUCONEO-PWY","false","GLUCONEO-PWY"
"dg_36:4","false","dg_36:4"
"tg_38:2","false","tg_38:2"
"tg_50:3","false","tg_50:3"
"tg_60:7","false","tg_60:7"
"PWY-7851","false","PWY-7851"
"tg_50:2","false","tg_50:2"
"PWY-3001","false","PWY-3001"
"st_24:1;o4","false","st_24:1;o4"
"PWY-6292","false","PWY-6292"
"POLYISOPRENSYN-PWY","false","POLYISOPRENSYN-PWY"
"Bench","false","Bench"
"tg_38:0","false","tg_38:0"
"SALVADEHYPOX-PWY","false","SALVADEHYPOX-PWY"
"PWY-6690","false","PWY-6690"
"PWY-5088","false","PWY-5088"
"DTDPRHAMSYN-PWY","false","DTDPRHAMSYN-PWY"
"pc_32:1","false","pc_32:1"
"pc_37:2","false","pc_37:2"
"PWY-6531","false","PWY-6531"
"PWY-6731","false","PWY-6731"
"PWY66-389","false","PWY66-389"
"lpc_18:1/0:0","false","lpc_18:1/0:0"
"PWY-6126","false","PWY-6126"
"dg_36:1","false","dg_36:1"
"P41-PWY","false","P41-PWY"
"HEME-BIOSYNTHESIS-II-1","false","HEME-BIOSYNTHESIS-II-1"
"pc_37:3","false","pc_37:3"
"Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left","false","Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left"
"fa_22:3;o2","false","fa_22:3;o2"
"tyrosine","false","tyrosine"
"sm_42:1;o2","false","sm_42:1;o2"
"dg_30:0","false","dg_30:0"
"PWY-7942","false","PWY-7942"
"hexcer_36:3;o3","false","hexcer_36:3;o3"
"Occipital_Low_Alpha","false","Occipital_Low_Alpha"
"cer_40:1;o2","false","cer_40:1;o2"
"ce_21:4","false","ce_21:4"
"dg_36:2","false","dg_36:2"
"PWY66-399","false","PWY66-399"
"Source_of_water_used_after_defecating","false","Source_of_water_used_after_defecating"
"tg_56:7","false","tg_56:7"
"PWY-6901","false","PWY-6901"
"PWY-7237","false","PWY-7237"
"Occipital_Delta","false","Occipital_Delta"
"PWY-5030","false","PWY-5030"
"PWY0-1061","false","PWY0-1061"
"PWY-4984","false","PWY-4984"
"tg_49:1","false","tg_49:1"
"PWY-5850","false","PWY-5850"
"PWY0-301","false","PWY0-301"
"dg_32:1","false","dg_32:1"
"CARNMET-PWY","false","CARNMET-PWY"
"sm_43:2;o2","false","sm_43:2;o2"
"PWY-7254","false","PWY-7254"
"Household_food_availability","false","Household_food_availability"
"dg_30:2","false","dg_30:2"
"car_10:0","false","car_10:0"
"Right_Lat_Frontal_High_Alpha","false","Right_Lat_Frontal_High_Alpha"
"ps_36:1","false","ps_36:1"
"lpe_20:4","false","lpe_20:4"
"tg_50:4","false","tg_50:4"
"PWY4LZ-257","false","PWY4LZ-257"
"PWY-7118","false","PWY-7118"
"LPSSYN-PWY","false","LPSSYN-PWY"
"tg_52:5;o","false","tg_52:5;o"
"ARO-PWY","false","ARO-PWY"
"tg_54:1","false","tg_54:1"
"Parietal_Low_Gamma","false","Parietal_Low_Gamma"
"Condition","false","Condition"
"Working_TV","false","Working_TV"
"Frontal_Central_Beta","false","Frontal_Central_Beta"
"fa_18:1","false","fa_18:1"
"sm_41:9;o2","false","sm_41:9;o2"
"tg_44:3","false","tg_44:3"
"tg_40:1","false","tg_40:1"
"car_14:0","false","car_14:0"
"PWY0-1296","false","PWY0-1296"
"tg_51:5","false","tg_51:5"
"P621-PWY","false","P621-PWY"
"Agent_used_after_cleaning_childs_anus","false","Agent_used_after_cleaning_childs_anus"
"pc_35:2","false","pc_35:2"
"sm_36:0;o2","false","sm_36:0;o2"
"lpc_o-16:1","false","lpc_o-16:1"
"P105-PWY","false","P105-PWY"
"tg_56:3","false","tg_56:3"
"PWY-7013","false","PWY-7013"
"COLANSYN-PWY","false","COLANSYN-PWY"
"lpe_22:6","false","lpe_22:6"
"pi_34:1","false","pi_34:1"
"PWY-5862","false","PWY-5862"
"cer_42:1;o2","false","cer_42:1;o2"
"PWY-6859","false","PWY-6859"
"CITRULBIO-PWY","false","CITRULBIO-PWY"
"car_18:2","false","car_18:2"
"fa_20:1","false","fa_20:1"
"Family_type","false","Family_type"
"PWY-7357","false","PWY-7357"
"PWY66-391","false","PWY66-391"
"tg_47:2","false","tg_47:2"
"tg_60:8","false","tg_60:8"
"PWY-7242","false","PWY-7242"
"PWY-5838","false","PWY-5838"
"GLYCOCAT-PWY","false","GLYCOCAT-PWY"
"tg_56:10","false","tg_56:10"
"Left_Temporal_Beta","false","Left_Temporal_Beta"
"PWY4FS-8","false","PWY4FS-8"
"tg_42:0","false","tg_42:0"
"KETOGLUCONMET-PWY","false","KETOGLUCONMET-PWY"
"serine","false","serine"
"tg_62:2","false","tg_62:2"
"Veillonella_dispar","false","Veillonella_dispar"
"DENOVOPURINE2-PWY","false","DENOVOPURINE2-PWY"
"Temporal_Beta","false","Temporal_Beta"
"tg_58:3","false","tg_58:3"
"Right_Lat_Frontal_Beta","false","Right_Lat_Frontal_Beta"
"fahfa_28:5;o","false","fahfa_28:5;o"
"tg_51:3","false","tg_51:3"
"Left_Temporal_Theta","false","Left_Temporal_Theta"
"tg_50:1","false","tg_50:1"
"PWY-7446","false","PWY-7446"
"nagly_24:3;o","false","nagly_24:3;o"
"PWY0-1479","false","PWY0-1479"
"PWY-702","false","PWY-702"
"dg_40:8","false","dg_40:8"
"fa_22:6","false","fa_22:6"
"PWY-I9","false","PWY-I9"
"GLYCOLYSIS","false","GLYCOLYSIS"
"ORNARGDEG-PWY","false","ORNARGDEG-PWY"
"pe_p-40:7","false","pe_p-40:7"
"PWY-622","false","PWY-622"
"ASPASN-PWY","false","ASPASN-PWY"
"lpi_20:4","false","lpi_20:4"
"PWY-7340","false","PWY-7340"
"sm_45:5;o2","false","sm_45:5;o2"
"tg_46:4","false","tg_46:4"
"Telephone_mobile","false","Telephone_mobile"
"pe_o-40:11","false","pe_o-40:11"
"Occipital_Theta","false","Occipital_Theta"
"PWY-6897","false","PWY-6897"
"Night_sleep","false","Night_sleep"
"PWY-6895","false","PWY-6895"
"tg_60:12","false","tg_60:12"
"Klebsiella_pneumoniae","false","Klebsiella_pneumoniae"
"P124-PWY","false","P124-PWY"
"tg_44:1","false","tg_44:1"
"fa_17:0","false","fa_17:0"
"Method_used_before_feeding_child","false","Method_used_before_feeding_child"
"tg_60:2","false","tg_60:2"
"PWY-5705","false","PWY-5705"
"Right_Temporal_Delta","false","Right_Temporal_Delta"
"PWY-6293","false","PWY-6293"
"TRNA-CHARGING-PWY","false","TRNA-CHARGING-PWY"
"All_Chans_Delta","false","All_Chans_Delta"
"GLUCARDEG-PWY","false","GLUCARDEG-PWY"
"spb_26:0;o2","false","spb_26:0;o2"
"pc_o-36:5","false","pc_o-36:5"
"Ethnicity","false","Ethnicity"
"citrulline","false","citrulline"
"PWY-7409","false","PWY-7409"
"pc_o-41:11","false","pc_o-41:11"
"sm_43:4;o2","false","sm_43:4;o2"
"PWY-6277","false","PWY-6277"
"Fathers_occupation","false","Fathers_occupation"
"Frontal_Theta","false","Frontal_Theta"
"Right_Parietal_Theta","false","Right_Parietal_Theta"
"pc_30:0","false","pc_30:0"
"P122-PWY","false","P122-PWY"
"pi_38:4","false","pi_38:4"
"PWY-7187","false","PWY-7187"
"PWY-7184","false","PWY-7184"
"tg_50:5","false","tg_50:5"
"Right_Lat_Frontal_Delta","false","Right_Lat_Frontal_Delta"
"PWY-6562","false","PWY-6562"
"Right_Temporal_Beta","false","Right_Temporal_Beta"
"tg_52:0","false","tg_52:0"
"WLZ_WHZ","false","WLZ_WHZ"
"ear_to_ear_measurement_front_cm","false","ear_to_ear_measurement_front_cm"
"fa_18:0","false","fa_18:0"
"ARGININE-SYN4-PWY","false","ARGININE-SYN4-PWY"
"PWY-5981","false","PWY-5981"
"tg_62:3","false","tg_62:3"
"pe_p-36:4","false","pe_p-36:4"
"Left_Parietal_Low_Alpha","false","Left_Parietal_Low_Alpha"
"PWY-7282","false","PWY-7282"
"FUC-RHAMCAT-PWY","false","FUC-RHAMCAT-PWY"
"cer_42:0;o2","false","cer_42:0;o2"
"PWY-6123","false","PWY-6123"
"PWY-6628","false","PWY-6628"
"tg_48:3","false","tg_48:3"
"tg_62:14","false","tg_62:14"
"BIOTIN-BIOSYNTHESIS-PWY","false","BIOTIN-BIOSYNTHESIS-PWY"
"PWY0-1477","false","PWY0-1477"
"PWY-5464","false","PWY-5464"
"PWY-6284","false","PWY-6284"
"P42-PWY","false","P42-PWY"
"Uses_social_media","false","Uses_social_media"
"Source_of_water_used_before_eating","false","Source_of_water_used_before_eating"
"pc_o-34:1","false","pc_o-34:1"
"GLUDEG-I-PWY","false","GLUDEG-I-PWY"
"PWY-7208","false","PWY-7208"
"Water_treatment_method","false","Water_treatment_method"
"tg_36:0","false","tg_36:0"
"tg_60:9","false","tg_60:9"
"dg_38:7","false","dg_38:7"
"Temporal_Low_Alpha","false","Temporal_Low_Alpha"
"cer_41:1;o2","false","cer_41:1;o2"
"All_Chans_High_Alpha","false","All_Chans_High_Alpha"
"Right_Temporal_High_Gamma","false","Right_Temporal_High_Gamma"
"PWY-5484","false","PWY-5484"
"Delivery_Mode","false","Delivery_Mode"
"PWY-5103","false","PWY-5103"
"tg_56:2","false","tg_56:2"
"fa_23:0","false","fa_23:0"
"PWY-7117","false","PWY-7117"
"RIBOSYN2-PWY","false","RIBOSYN2-PWY"
"fa_22:1","false","fa_22:1"
"PWY0-862","false","PWY0-862"
"Left_Parietal_Beta","false","Left_Parietal_Beta"
"lpc_18:2/0:0","false","lpc_18:2/0:0"
"tg_26:0","false","tg_26:0"
"URDEGR-PWY","false","URDEGR-PWY"
"PWY-6386","false","PWY-6386"
"PWY0-1415","false","PWY0-1415"
"NONOXIPENT-PWY","false","NONOXIPENT-PWY"
"COA-PWY","false","COA-PWY"
"mg_18:2","false","mg_18:2"
"tg_60:6","false","tg_60:6"
"pc_36:4","false","pc_36:4"
"PWY-5022","false","PWY-5022"
"PWY66-409","false","PWY66-409"
"ornithine","false","ornithine"
"tg_48:2","false","tg_48:2"
"pc_28:0","false","pc_28:0"
"HOMOSER-METSYN-PWY","false","HOMOSER-METSYN-PWY"
"pc_o-32:1","false","pc_o-32:1"
"pe_p-36:2","false","pe_p-36:2"
"PWY-7371","false","PWY-7371"
"fa_20:2","false","fa_20:2"
"PWY-7805","false","PWY-7805"
"PWY-7220","false","PWY-7220"
"PWY0-461","false","PWY0-461"
"tg_43:2","false","tg_43:2"
"tg_45:1","false","tg_45:1"
"sm_36:2;o2","false","sm_36:2;o2"
"pc_34:1","false","pc_34:1"
"tg_42:1","false","tg_42:1"
"ORNDEG-PWY","false","ORNDEG-PWY"
"pc_32:2","false","pc_32:2"
"pc_o-40:6","false","pc_o-40:6"
"THRESYN-PWY","false","THRESYN-PWY"
"PWY-7199","false","PWY-7199"
"BRANCHED-CHAIN-AA-SYN-PWY","false","BRANCHED-CHAIN-AA-SYN-PWY"
"HEME-BIOSYNTHESIS-II","false","HEME-BIOSYNTHESIS-II"
"Occipital_Low_Gamma","false","Occipital_Low_Gamma"
"PWY-6305","false","PWY-6305"
"tg_42:3","false","tg_42:3"
"tg_60:11","false","tg_60:11"
"pe_38:6","false","pe_38:6"
"tg_41:1","false","tg_41:1"
"Bacteroides_vulgatus","false","Bacteroides_vulgatus"
"ce_18:4","false","ce_18:4"
"Temporal_Delta","false","Temporal_Delta"
"tg_49:4","false","tg_49:4"
"PWY-7269","false","PWY-7269"
"PWY-8004","false","PWY-8004"
"sm_33:1;o2","false","sm_33:1;o2"
"HEXITOLDEGSUPER-PWY","false","HEXITOLDEGSUPER-PWY"
"cer_34:0;o2","false","cer_34:0;o2"
"Source_of_water_used_after_cleaning_childs_anus","false","Source_of_water_used_after_cleaning_childs_anus"
"lpe_o-16:1","false","lpe_o-16:1"
"ARGSYN-PWY","false","ARGSYN-PWY"
"Escherichia_coli","false","Escherichia_coli"
"Sewing_machine","false","Sewing_machine"
"tg_51:1","false","tg_51:1"
"PWY-5121","false","PWY-5121"
"PWY-5692","false","PWY-5692"
"fa_16:2","false","fa_16:2"
"tg_50:6","false","tg_50:6"
"PWY-5675","false","PWY-5675"
"Supramarginal_Gyrus_right_Supramarginal_Gyrus_left","false","Supramarginal_Gyrus_right_Supramarginal_Gyrus_left"
"PEPTIDOGLYCANSYN-PWY","false","PEPTIDOGLYCANSYN-PWY"
"PWY-6285","false","PWY-6285"
"Right_Lat_Frontal_Theta","false","Right_Lat_Frontal_Theta"
"NAD-BIOSYNTHESIS-II","false","NAD-BIOSYNTHESIS-II"
"Occurence_Microstates_C","false","Occurence_Microstates_C"
"lpc_16:0/0:0","false","lpc_16:0/0:0"
"PWY66-430","false","PWY66-430"
"PANTOSYN-PWY","false","PANTOSYN-PWY"
"dg_38:5","false","dg_38:5"
"pe_p-40:6","false","pe_p-40:6"
"tg_49:3","false","tg_49:3"
"pc_34:2","false","pc_34:2"
"valine","false","valine"
"Recovery","false","Recovery"
"Principal_source_of_household_drinking_water","false","Principal_source_of_household_drinking_water"
"fa_22:3","false","fa_22:3"
"PWY-5840","false","PWY-5840"
"Veillonella_atypica","false","Veillonella_atypica"
"tg_55:1","false","tg_55:1"
"Temporal_Low_Gamma","false","Temporal_Low_Gamma"
"st_27:1;o","false","st_27:1;o"
"receptive_communication_score","false","receptive_communication_score"
"Source_of_water_used_before_cleaning_childs_dishes","false","Source_of_water_used_before_cleaning_childs_dishes"
"tg_24:0","false","tg_24:0"
"nae_18:2","false","nae_18:2"
"PWY-7229","false","PWY-7229"
"pi_40:6","false","pi_40:6"
"PRPP-PWY","false","PRPP-PWY"
"fa_24:2","false","fa_24:2"
"Right_Temporal_Theta","false","Right_Temporal_Theta"
"Frontal_Beta","false","Frontal_Beta"
"tg_54:3","false","tg_54:3"
"PWY-5686","false","PWY-5686"
"pc_40:4","false","pc_40:4"
"Frontal_Central_Low_Alpha","false","Frontal_Central_Low_Alpha"
"pe_p-38:6","false","pe_p-38:6"
"ARGSYNBSUB-PWY","false","ARGSYNBSUB-PWY"
"ce_20:4","false","ce_20:4"
"P185-PWY","false","P185-PWY"
"PWY-7807","false","PWY-7807"
"pc_o-40:7","false","pc_o-40:7"
"pc_35:1","false","pc_35:1"
"tg_58:7","false","tg_58:7"
"fahfa_28:3;2o","false","fahfa_28:3;2o"
"tg_43:0","false","tg_43:0"
"tg_50:1;o","false","tg_50:1;o"
"tg_54:4;o","false","tg_54:4;o"
"PWY-6507","false","PWY-6507"
"Left_Lat_Frontal_Beta","false","Left_Lat_Frontal_Beta"
"PWY0-1298","false","PWY0-1298"
"sm_32:1;o2","false","sm_32:1;o2"
"Tabletop","false","Tabletop"
"OANTIGEN-PWY","false","OANTIGEN-PWY"
"Left_Temporal_High_Alpha","false","Left_Temporal_High_Alpha"
"head_circumference_cm","false","head_circumference_cm"
"lpc_17:1/0:0","false","lpc_17:1/0:0"
"PWY-7392","false","PWY-7392"
"ear_to_ear_measurement_back_cm","false","ear_to_ear_measurement_back_cm"
"lpc_17:0/0:0","false","lpc_17:0/0:0"
"glycine","false","glycine"
"PWY-7345","false","PWY-7345"
